temperature,humidity,soil_moisture,irrigation_required
22,72,62,0
23,70,60,0
24,68,58,0
25,66,56,0
26,64,54,0
27,62,52,0
28,60,50,0
29,58,48,0
30,56,46,0
31,54,44,1
32,52,42,1
33,50,40,1
34,48,38,1
35,46,36,1
36,44,34,1
37,42,32,1
38,40,30,1
39,38,28,1
40,36,26,1
41,34,24,1
21,75,65,0
22,73,63,0
23,71,61,0
24,69,59,0
25,67,57,0
26,65,55,0
27,63,53,0
28,61,51,0
29,59,49,0
30,57,47,0
31,55,45,1
32,53,43,1
33,51,41,1
34,49,39,1
35,47,37,1
36,45,35,1
37,43,33,1
38,41,31,1
39,39,29,1
40,37,27,1
22,74,64,0
23,72,62,0
24,70,60,0
25,68,58,0
26,66,56,0
27,64,54,0
28,62,52,0
29,60,50,0
30,58,48,0
31,56,46,1
32,54,44,1
33,52,42,1
34,50,40,1
35,48,38,1
36,46,36,1
37,44,34,1
38,42,32,1
39,40,30,1
40,38,28,1
41,36,26,1
21,76,66,0
22,74,64,0
23,72,62,0
24,70,60,0
25,68,58,0
26,66,56,0
27,64,54,0
28,62,52,0
29,60,50,0
30,58,48,0
31,56,46,1
32,54,44,1
33,52,42,1
34,50,40,1
35,48,38,1
36,46,36,1
37,44,34,1
38,42,32,1
39,40,30,1
40,38,28,1
23,71,61,0
24,69,59,0
25,67,57,0
26,65,55,0
27,63,53,0
28,61,51,0
29,59,49,0
30,57,47,0
31,55,45,1
32,53,43,1
33,51,41,1
34,49,39,1
35,47,37,1
36,45,35,1
37,43,33,1
38,41,31,1
39,39,29,1
40,37,27,1
41,35,25,1
42,33,23,1